title,fuel_type,mileage,power,origin,city,region,reg_month,reg_year,garanty,price_neg,price,link
Renault Captur 0.9 TCE Exclusive,Gasolina,19000.0,90.0,Nacional,Falagueira-Venda Nova,Lisboa,Fevereiro,2019.0,1,Negociável,15900.0,https://www.standvirtual.com/anuncio/renault-captur-0-9-tce-exclusive-ID8OIPGh.html#4c7834caf3
BMW 318 d Advantage 150Cv (Nacional),Diesel,178000.0,150.0,Nacional,"Santo Tirso, Couto (Santa Cristina e São Miguel) e Burgães",Porto,Novembro,2015.0,1,Negociável,16900.0,https://www.standvirtual.com/anuncio/bmw-318-d-advantage-150cv-nacional-ID8OGWqA.html#4c7834caf3
Mercedes-Benz CLA 180,Diesel,84357.0,109.0,,Mirandela,Bragança,Janeiro,2018.0,1,Negociável,28900.0,https://www.standvirtual.com/anuncio/mercedes-benz-cla-180-ID8OpVBx.html#b24d48df63
BMW M550d,Diesel,191000.0,381.0,,Mirandela,Bragança,Julho,2012.0,1,Negociável,39999.0,https://www.standvirtual.com/anuncio/bmw-m550d-ID8OpVeu.html#b24d48df63
Nissan Qashqai,Diesel,150900.0,110.0,,Mirandela,Bragança,Julho,2015.0,1,Valor Fixo,16550.0,https://www.standvirtual.com/anuncio/nissan-qashqai-ID8LU7aX.html#b24d48df63
Renault Clio Sport Tourer 1.5 dCi Confort,Diesel,150000.0,90.0,Nacional,Póvoa de Santa Iria e Forte da Casa,Lisboa,Julho,2015.0,1,Valor Fixo,9450.0,https://www.standvirtual.com/anuncio/renault-clio-sport-tourer-1-5-dci-confort-ID8O2nGC.html#b24d48df63
Renault Mégane Sport Tourer,Diesel,249000.0,110.0,Nacional,Mirandela,Bragança,Março,2012.0,1,Valor Fixo,8750.0,https://www.standvirtual.com/anuncio/renault-mgane-sport-tourer-ID8KM80U.html#b24d48df63
Citroën C3,Diesel,120000.0,70.0,,Póvoa de Santa Iria e Forte da Casa,Lisboa,Julho,2014.0,1,Valor Fixo,9550.0,https://www.standvirtual.com/anuncio/citron-c3-ID8NJ4HQ.html#b24d48df63
VW Golf 1.6 TDi HIGHLINE,Diesel,70000.0,105.0,,Charneca de Caparica e Sobreda,Setúbal,Julho,2011.0,1,Valor Fixo,17500.0,https://www.standvirtual.com/anuncio/vw-golf-1-6-tdi-highline-ID8NGoEV.html#b24d48df63
Citroën C4 Cactus,Diesel,80000.0,100.0,,Mirandela,Bragança,Julho,2016.0,1,Valor Fixo,13999.0,https://www.standvirtual.com/anuncio/citron-c4-cactus-ID8NkrqY.html#b24d48df63
VW Golf Variant,Diesel,160000.0,105.0,Nacional,Póvoa de Santa Iria e Forte da Casa,Lisboa,Março,2011.0,1,Valor Fixo,8950.0,https://www.standvirtual.com/anuncio/vw-golf-variant-ID8NIY2G.html#b24d48df63
Porsche Cayenne E-Hybrid Plug-In GTS,Híbrido (Gasolina),48800.0,416.0,Importado,Charneca de Caparica e Sobreda,Setúbal,Maio,2015.0,1,Valor Fixo,63500.0,https://www.standvirtual.com/anuncio/porsche-cayenne-e-hybrid-plug-in-gts-ID8ODPeo.html#b24d48df63
Mercedes-Benz GLA 180,Diesel,68000.0,110.0,,Matosinhos e Leça da Palmeira,Porto,Novembro,2015.0,1,Valor Fixo,19390.0,https://www.standvirtual.com/anuncio/mercedes-benz-gla-180-ID8Oxk1x.html#b24d48df63
Porsche Cayenne E-Hybrid Plug-In GTS,Híbrido (Gasolina),151000.0,416.0,Importado,Charneca de Caparica e Sobreda,Setúbal,Dezembro,2015.0,1,Valor Fixo,59900.0,https://www.standvirtual.com/anuncio/porsche-cayenne-e-hybrid-plug-in-gts-ID8ODP6S.html#b24d48df63
Renault Mégane Break 1.5 dCi Privilège,Diesel,170000.0,100.0,,Póvoa de Santa Iria e Forte da Casa,Lisboa,Julho,2006.0,1,Valor Fixo,3950.0,https://www.standvirtual.com/anuncio/renault-mgane-break-1-5-dci-privilge-ID8NJ4PH.html#b24d48df63
Volvo S60 Momentum,Diesel,105000.0,115.0,,São Sebastião,Setúbal,Junho,2014.0,0,Negociável,15850.0,https://www.standvirtual.com/anuncio/volvo-s60-momentum-ID8Od42L.html#b24d48df63
Renault Clio Sport Tourer,Diesel,128000.0,90.0,Nacional,Mirandela,Bragança,Maio,2014.0,1,Negociável,10999.0,https://www.standvirtual.com/anuncio/renault-clio-sport-tourer-ID8Nq2pg.html#b24d48df63
Opel Corsa 1.4 Enjoy Easytronic,Gasolina,69100.0,90.0,Nacional,Mirandela,Bragança,Março,2015.0,1,Negociável,10700.0,https://www.standvirtual.com/anuncio/opel-corsa-1-4-enjoy-easytronic-ID8NpYLy.html#b24d48df63
MINI Cooper D,Diesel,229900.0,110.0,,Mirandela,Bragança,Maio,2007.0,1,Valor Fixo,8950.0,https://www.standvirtual.com/anuncio/mini-cooper-d-ID8KMlSp.html#b24d48df63
BMW X5 xDrive 40e Híbrido Plug-In - Pack M,Híbrido (Gasolina),112000.0,313.0,,Fernão Ferro,Setúbal,Maio,2016.0,1,Negociável,48585.0,https://www.standvirtual.com/anuncio/bmw-x5-xdrive-40e-hbrido-plug-in-pack-m-ID8ODR5B.html#b24d48df63
